category,total_listings,total_value_inr,avg_price,percentage,value_percentage
Glass,2,23009.02,11504.51,10.0,29.87
Paper & Cardboard,2,16200.24,8100.12,10.0,21.03
Agricultural/Biomass,2,10533.060000000001,5266.53,10.0,13.67
Organic/Food Waste,2,7964.4800000000005,3982.24,10.0,10.34
Metal Scrap,2,5959.25,2979.62,10.0,7.74
Rubber & Tires,2,5484.9,2742.45,10.0,7.12
Industrial Ash,2,4082.02,2041.01,10.0,5.3
Construction & Demolition,2,3078.21,1539.11,10.0,4.0
Textile Waste,2,443.2,221.6,10.0,0.58
Plastic Waste,2,272.35,136.18,10.0,0.35
